"","confound","n","p","oracle","plugin","WZ","DEB"
"",0,800,1600,-0.0225908313508834,0,-0.0194589506148673,-0.0203774668164343
"",0,800,1600,-0.0224906626390177,0,-0.0409124273627194,-0.040855690181151
"",0,800,1600,-0.0225415720895429,0,-0.0364645988640137,-0.034142579350368
"",0,800,1600,-0.0226285711729433,0,-0.0129019766970476,-0.0114509355557918
"",0,800,1600,-0.0224263519336925,0,-0.0348902129992422,-0.0293757486821019
"",0,800,1600,-0.0225176548980491,0,-0.0376077390736484,-0.0388963006346641
"",0,800,1600,-0.0225784428630661,0,-0.013714480577402,-0.0133595707975468
"",0,800,1600,-0.0225666297752466,0,-0.0138726516827577,-0.0125359274222147
"",0,800,1600,-0.0225632226612949,0,-0.00213605980410768,0.00229910489133002
"",0,800,1600,-0.022462020763151,0,-0.00920000829088633,-0.0063751448834753
"",0,800,1600,-0.0222651679676075,0,-0.00644900007442329,-0.00835239135796756
"",0,800,1600,-0.0224064469630406,0,-0.0335330955320609,-0.0255302558548267
"",0,800,1600,-0.0227260339095473,0,-0.0129701926063438,-0.0157838673492768
"",0,800,1600,-0.0224301260030241,0,-0.00852925169656534,-0.00419600336416551
"",0,800,1600,-0.0225340386771599,0,-0.0329528596617093,-0.0248985808942307
"",0,800,1600,-0.0224991722559534,0,-0.0120818657265022,-0.0184433509314451
"",0,800,1600,-0.0223856163576199,0,-0.038253044162884,-0.0352316411398022
"init",1,800,1600,-0.0225100968659308,0,0.00170486348138973,-0.0136707251677311
"",1,800,1600,-0.0226023422944293,0,-0.0288674527842556,-0.0271870344079185
"",1,800,1600,-0.0225609252826778,0,0.0189187266993055,0.000937298010713917
"",1,800,1600,-0.0225854643697948,0,0.00639426982644457,-0.0176540314614438
"",1,800,1600,-0.0223191192865501,0,-0.0160161774029851,-0.0237970089963391
"",1,800,1600,-0.0225611036239118,0,-0.00428060046129991,-0.0210231106273976
"",1,800,1600,-0.0226608566448564,0,-0.00447919149080096,-0.00599480682999996
"",1,800,1600,-0.0225986983695192,0,0.0056953564462707,-0.00720511203399782
"",1,800,1600,-0.0224482099202287,0,0.00800749797646172,0.00251484110393197
"",1,800,1600,-0.0227330112546172,0,0.0106047002805783,-0.00837725629829151
"",1,800,1600,-0.022517154552868,0,-0.0122594449609873,-0.0214006663932128
"",1,800,1600,-0.0225440415646659,0,0.00936382293616473,-0.0108949818581498
"",1,800,1600,-0.0225386716839261,0,-0.00728727487678264,-0.0241907119885803
"",1,800,1600,-0.0222879258380097,0,-0.00969700009119153,-0.020225308686646
"",1,800,1600,-0.0225699473218335,0,-0.00412700473635584,-0.0225381514303598
"",1,800,1600,-0.0226358331658166,0,0.0108350574094702,-0.00289652022660455
"",1,800,1600,-0.0225447685503775,0,-0.0202896079154912,-0.0411067824420074
"",1,800,1600,-0.0225184368539955,0,0.00120212906204845,-0.0154341065851065
"",1,800,1600,-0.0225801803619253,0,0.0169854690065906,0.00753538385124298
"",1,800,1600,-0.0224390510171584,0,0.0290391800805629,0.0287602038413109
"init",0,1600,3200,-0.0224064609959839,0,-0.0271555230204907,-0.0202214355182937
"",0,1600,3200,-0.0226506305720543,0,-0.0231261187149835,-0.0212625264528967
"",0,1600,3200,-0.0225270349233362,-0.00787085332958758,-0.028060943712718,-0.0385310702533381
"",0,1600,3200,-0.0225059049833641,0,-0.0180759274830244,-0.0149765620507746
"",0,1600,3200,-0.0224870136399618,0,0.0027581138629932,-0.00444047207495994
"",0,1600,3200,-0.0224166650399327,0,-0.0272580057039847,-0.026890018879517
"",0,1600,3200,-0.0225988075824083,0,-0.0322972947959675,-0.0288837477764593
"",0,1600,3200,-0.0225479921669106,0,-0.0056183876196315,-0.0072452023417932
"",0,1600,3200,-0.0224702369347862,0,-0.0155369923967526,-0.0120151417262306
"",0,1600,3200,-0.0224724756445081,0,-0.0333942370465476,-0.0353260685411999
